Date,Open P1,Open P2,Open P3,Open P4/P5,All Open,Resolved/ReadyToTest,Closed,Deferred
7/23/2014,0,0,18,18,36,41,2,19
7/24/2014,0,0,19,19,38,42,2,19
7/25/2014,0,0,21,21,42,40,4,19
7/28/2014,0,0,23,27,50,30,13,8
7/29/2014,0,0,24,27,51,22,20,8
7/30/2014,0,0,28,29,57,12,28,8
7/31/2014,0,0,29,28,57,12,31,8
8/1/2014,0,0,27,26,53,12,35,8
8/4/2014,0,0,26,24,50,15,35,8
8/5/2014,0,0,28,20,48,22,35,8
8/6/2014,0,0,28,20,48,16,42,8
